Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Number of Google Reviews,Normalized Rating,Normalized Fee,Normalized Time,Normalized Reviews,Weekend Availability Score,Significance Score,Type Score,Airport Score,Ranking Score
144,Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,1968,3.0,4.5,50,No,,Wildlife,Yes,0.05,Morning,5000.0,0.9,0.9933333333333333,0.5714285714285714,0.006756756756756757,1.0,0.25,0.4,0.0,0.678604247104247
19,Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3.0,4.3,50,Yes,Monday,Wildlife,Yes,0.6,All,60000.0,0.86,0.9933333333333333,0.5714285714285714,0.08108108108108109,1.0,0.25,0.4,0.05,0.6785366795366794
177,Northern,Uttarakhand,Jim Corbett,Jim Corbett National Park,National Park,1936,3.0,4.4,100,Yes,,Wildlife,Yes,0.3,All,30000.0,0.8800000000000001,0.9866666666666667,0.5714285714285714,0.04054054054054054,1.0,0.25,0.4,0.05,0.6784826254826254
112,Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,Unknown,3.0,4.7,0,No,,Historical,Yes,0.05,All,5000.0,0.9400000000000001,1.0,0.5714285714285714,0.006756756756756757,1.0,0.3,0.1,0.0,0.6771042471042471
161,Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2005,2.0,4.8,2500,No,,Adventure,Yes,0.01,All,1000.0,0.96,0.6666666666666667,0.7142857142857143,0.0013513513513513514,1.0,0.35,0.1,0.0,0.6769208494208494
286,North Eastern,Nagaland,Dzükou Valley,Dzükou Valley,Valley,Unknown,3.0,4.7,0,No,,Trekking,Yes,0.01,Afternoon,1000.0,0.9400000000000001,1.0,0.5714285714285714,0.0013513513513513514,1.0,0.3,0.1,0.0,0.6765637065637066
278,North Eastern,Assam,Manas,Manas National Park,National Park,1990,3.0,4.6,500,No,,Wildlife,Yes,0.19,Morning,19000.0,0.9199999999999999,0.9333333333333333,0.5714285714285714,0.025675675675675677,1.0,0.25,0.4,0.0,0.6764961389961389
124,Western,Maharastra,Aurangabad,Ajanta Caves,Cave,200,3.0,4.6,30,Yes,Monday,Historical,Yes,0.21,Afternoon,21000.0,0.9199999999999999,0.996,0.5714285714285714,0.02837837837837838,1.0,0.3,0.1,0.05,0.6761664092664091
222,Eastern,West Bengal,Jalpaiguri,Gorumara National Park,National Park,1949,3.0,4.4,100,Yes,,Wildlife,Yes,0.07,All,7000.000000000001,0.8800000000000001,0.9866666666666667,0.5714285714285714,0.00945945945945946,1.0,0.25,0.4,0.05,0.6753745173745174
77,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,3.0,4.5,10,Yes,,Recreational,Yes,0.3,Afternoon,30000.0,0.9,0.9986666666666667,0.5714285714285714,0.04054054054054054,1.0,0.25,0.2,0.05,0.6752826254826253
